Question,SQL Query,Method,Table,Constraints,Label
What is the value between operated and not operated intensity GHG emissions of the lowest percentage ratio between 2022 and 2021?,[],one-table-multistep_ratio_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Intensity indicators</th>
      <th>2023</th>
      <th>2022</th>
      <th>2021</th>
      <th>2015</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Lifecycle carbon intensity(a) of energy products sold (73 g CO2e/MJ in 2015)</td>
      <td>87</td>
      <td>88</td>
      <td>90 (89)</td>
      <td>100(b)</td>
    </tr>
    <tr>
      <td>Intensity of GHG emissions (Scope 1+2) of operated Upstream oil & gas activities(c) (kg CO2e/boe)</td>
      <td>17</td>
      <td>17</td>
      <td>17</td>
      <td>21</td>
    </tr>
    <tr>
      <td>Intensity of GHG emissions (Scope 1+2) of Upstream oil & gas activities(c) on equity basis (kg CO2e/boe)</td>
      <td>18</td>
      <td>19</td>
      <td>19</td>
      <td>-</td>
    </tr>
    <tr>
      <td>Intensity of methane emissions from operated oil & gas facilities (Upstream) (%)</td>
      <td>0.11</td>
      <td>0.11</td>
      <td>0.13</td>
      <td>0.23</td>
    </tr>
    <tr>
      <td>Intensity of methane emissions from operated gas facilities (Upstream) (%)</td>
      <td><0.1</td>
      <td><0.1</td>
      <td><0.1</td>
      <td><0.1</td>
    </tr>
  </tbody>
</table>",[],100
"What is the value between SO2, Nox and NMVOC emissions of the lowest sum in the years 2021, 2022, 2023?",[],one-table-multistep_sum_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Environmental footprint</th>
      <th>Unit</th>
      <th>2019</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Atmospheric chronic emissions (excluding GHG)</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>SO2 emissions</td>
      <td>kt</td>
      <td>39</td>
      <td>34</td>
      <td>16</td>
      <td>13</td>
      <td>12</td>
    </tr>
    <tr>
      <td>NOx emissions</td>
      <td>kt</td>
      <td>72</td>
      <td>64</td>
      <td>59</td>
      <td>60</td>
      <td>60</td>
    </tr>
    <tr>
      <td>NMVOC emissions</td>
      <td>kt</td>
      <td>83</td>
      <td>69</td>
      <td>58</td>
      <td>48</td>
      <td>43</td>
    </tr>
    <tr>
      <td>Total particulate matters</td>
      <td>kt</td>
      <td>-</td>
      <td>-</td>
      <td>3.8</td>
      <td>3.9</td>
      <td>4.1</td>
    </tr>
    <tr>
      <td>Discharged water quality</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Offshore continuous water discharges hydrocarbon content</td>
      <td>mg/l</td>
      <td>13</td>
      <td>12.8</td>
      <td>13.7</td>
      <td>12.9</td>
      <td>11.6</td>
    </tr>
    <tr>
      <td>% of sites that meet the target for offshore discharges quality (30 mg/l)(b)</td>
      <td>%</td>
      <td>100</td>
      <td>100</td>
      <td>92</td>
      <td>93</td>
      <td>92</td>
    </tr>
    <tr>
      <td>Onshore continuous water discharges hydrocarbon content</td>
      <td>mg/l</td>
      <td>1.7</td>
      <td>1.9</td>
      <td>2.6</td>
      <td>1.8</td>
      <td>1.9</td>
    </tr>
    <tr>
      <td>% of sites that meet the 2030 target for onshore discharges quality: 1 mg/l</td>
      <td>%</td>
      <td>-</td>
      <td>--</td>
      <td>80</td>
      <td>73</td>
      <td>86</td>
    </tr>
    <tr>
      <td>Water-related indicators</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Fresh water withdrawals excluding open loop cooling water</td>
      <td>Mm3</td>
      <td>115</td>
      <td>105</td>
      <td>101</td>
      <td>107</td>
      <td>102</td>
    </tr>
    <tr>
      <td>Fresh water withdrawal in water stress area(a)</td>
      <td>Mm3</td>
      <td>-</td>
      <td>52</td>
      <td>54</td>
      <td>55</td>
      <td>50</td>
    </tr>
    <tr>
      <td>Fresh water consumption</td>
      <td>Mm3</td>
      <td>75</td>
      <td>75</td>
      <td>80</td>
      <td>76</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Forest related indicators</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Deforested area</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>81</td>
    </tr>
    <tr>
      <td>Compensated area</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>59</td>
    </tr>
    <tr>
      <td>Net deforestation(d)</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>22</td>
    </tr>
  </tbody>
</table>",[],41
"What are the top 2 highest values between purchased goods and downstream transportation of the sums (in ascending order) between the years 2022, 2023?",[],one-table-multistep_sum_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Estimates of indirect GHG emissions - Scope 3</th>
      <th>Unit</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Categories of Scope 3</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
    </tr>
    <tr>
      <td>Cat 1 Purchased goods and services(a)</td>
      <td>Mt CO2e</td>
      <td>30</td>
      <td>27</td>
    </tr>
    <tr>
      <td>Cat 2 Capital goods(b)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td>3</td>
    </tr>
    <tr>
      <td>Cat 3 Fuel-and-energy-related activities (not included in Scope 1+2)(c)</td>
      <td>Mt CO2e</td>
      <td>3</td>
      <td>4</td>
    </tr>
    <tr>
      <td>Cat 4 Upstream transportation(d)</td>
      <td>Mt CO2e</td>
      <td>9</td>
      <td>8</td>
    </tr>
    <tr>
      <td>Cat 5 Waste generated in operations(e)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td>1</td>
    </tr>
    <tr>
      <td>Cat 6 Business travel(f)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td><1</td>
    </tr>
    <tr>
      <td>Cat 7 Employee commuting(g)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td><1</td>
    </tr>
    <tr>
      <td>Cat 8 Upstream leased assets(h)</td>
      <td>Mt CO2e</td>
      <td>0</td>
      <td>0</td>
    </tr>
    <tr>
      <td>Cat 9 Downstream transportation(i)</td>
      <td>Mt CO2e</td>
      <td>1</td>
      <td>1</td>
    </tr>
    <tr>
      <td>Cat 10 Processing of sold products(j)</td>
      <td>Mt CO2e</td>
      <td>6</td>
      <td>5</td>
    </tr>
    <tr>
      <td>Cat 11 Use of sold products(k)</td>
      <td>Mt CO2e</td>
      <td>389*(381)</td>
      <td>355</td>
    </tr>
    <tr>
      <td>Cat 12 End of life treatment of sold products(l)</td>
      <td>Mt CO2e</td>
      <td>11</td>
      <td>10</td>
    </tr>
    <tr>
      <td>Cat 13 Downstream leased assets(m)</td>
      <td>Mt CO2e</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Cat 14 Franchises(n)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td><1</td>
    </tr>
    <tr>
      <td>Cat 15 Investments(o)</td>
      <td>Mt CO2e</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",[],"2.0, 57.0"
"What are the top 2 highest values between upstream and downstream transportation of the sums (in descending order) between the years 2022, 2023?",[],one-table-multistep_sum_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Estimates of indirect GHG emissions - Scope 3</th>
      <th>Unit</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Categories of Scope 3</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
    </tr>
    <tr>
      <td>Cat 1 Purchased goods and services(a)</td>
      <td>Mt CO2e</td>
      <td>30</td>
      <td>27</td>
    </tr>
    <tr>
      <td>Cat 2 Capital goods(b)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td>3</td>
    </tr>
    <tr>
      <td>Cat 3 Fuel-and-energy-related activities (not included in Scope 1+2)(c)</td>
      <td>Mt CO2e</td>
      <td>3</td>
      <td>4</td>
    </tr>
    <tr>
      <td>Cat 4 Upstream transportation(d)</td>
      <td>Mt CO2e</td>
      <td>9</td>
      <td>8</td>
    </tr>
    <tr>
      <td>Cat 5 Waste generated in operations(e)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td>1</td>
    </tr>
    <tr>
      <td>Cat 6 Business travel(f)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td><1</td>
    </tr>
    <tr>
      <td>Cat 7 Employee commuting(g)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td><1</td>
    </tr>
    <tr>
      <td>Cat 8 Upstream leased assets(h)</td>
      <td>Mt CO2e</td>
      <td>0</td>
      <td>0</td>
    </tr>
    <tr>
      <td>Cat 9 Downstream transportation(i)</td>
      <td>Mt CO2e</td>
      <td>1</td>
      <td>1</td>
    </tr>
    <tr>
      <td>Cat 10 Processing of sold products(j)</td>
      <td>Mt CO2e</td>
      <td>6</td>
      <td>5</td>
    </tr>
    <tr>
      <td>Cat 11 Use of sold products(k)</td>
      <td>Mt CO2e</td>
      <td>389*(381)</td>
      <td>355</td>
    </tr>
    <tr>
      <td>Cat 12 End of life treatment of sold products(l)</td>
      <td>Mt CO2e</td>
      <td>11</td>
      <td>10</td>
    </tr>
    <tr>
      <td>Cat 13 Downstream leased assets(m)</td>
      <td>Mt CO2e</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Cat 14 Franchises(n)</td>
      <td>Mt CO2e</td>
      <td><1</td>
      <td><1</td>
    </tr>
    <tr>
      <td>Cat 15 Investments(o)</td>
      <td>Mt CO2e</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",[],"17.0, 2.0"
"What is the value between the processed waste and not hazardous waste of the highest sum in the years 2020, 2023, 2021, 2022, 2019?",[],one-table-multistep_sum_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Waste management</th>
      <th>Unit</th>
      <th>2019</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Company's waste balance and waste treatment processes(a)</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
    </tr>
    <tr>
      <td>Total volume of processed waste</td>
      <td>kt</td>
      <td>662</td>
      <td>501</td>
      <td>500</td>
      <td>498</td>
      <td>521</td>
    </tr>
    <tr>
      <td>Non-hazardous waste</td>
      <td>kt</td>
      <td>375</td>
      <td>303</td>
      <td>335</td>
      <td>322</td>
      <td>319</td>
    </tr>
    <tr>
      <td>Hazardous waste</td>
      <td>kt</td>
      <td>288</td>
      <td>198</td>
      <td>165</td>
      <td>176</td>
      <td>202</td>
    </tr>
    <tr>
      <td>Reuse(b)</td>
      <td>%</td>
      <td>65</td>
      <td>59</td>
      <td>61</td>
      <td>61</td>
      <td>61</td>
    </tr>
  </tbody>
</table>",[],2682
What is the average between biofuels and gas emissions of the sums between the years 2023 and 2022?,[],one-table-multistep_sum_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Indirect GHG emissions and estimates of enabled emissions reductions</th>
      <th>Unit</th>
      <th>2015</th>
      <th>2019</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Scope 3(a)</td>
      <td>Mt CO2e</td>
      <td>410</td>
      <td>410</td>
      <td>400*(350)</td>
      <td>400*(370)</td>
      <td>389*(381)</td>
      <td>355</td>
    </tr>
    <tr>
      <td>of which Europe: EU 27 + Norway + UK + Switzerland</td>
      <td>Mt CO2e</td>
      <td>256</td>
      <td>232</td>
      <td>215*(190)</td>
      <td>220*(202)</td>
      <td>191*(187)</td>
      <td>216</td>
    </tr>
    <tr>
      <td>Breakdown by product</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
    </tr>
    <tr>
      <td>Petroleum products</td>
      <td>Mt CO2e</td>
      <td>350</td>
      <td>335</td>
      <td>320*(270)</td>
      <td>285*(255)</td>
      <td>254*(246)</td>
      <td>227</td>
    </tr>
    <tr>
      <td>Petroleum products</td>
      <td>vs 2015</td>
      <td>-</td>
      <td>-4%</td>
      <td>-9%</td>
      <td>-19%</td>
      <td>-27%</td>
      <td>-35%</td>
    </tr>
    <tr>
      <td>Biofuels</td>
      <td>Mt CO2e</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>4</td>
      <td>4</td>
    </tr>
    <tr>
      <td>Gas</td>
      <td>Mt CO2e</td>
      <td>60</td>
      <td>75</td>
      <td>80*(115)</td>
      <td>115*(115)</td>
      <td>130</td>
      <td>124</td>
    </tr>
    <tr>
      <td>Estimates of enabled emissions reductions by TotalEnergies' LNG sales (b)</td>
      <td>Mt CO2e</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>~70</td>
      <td>~70</td>
    </tr>
  </tbody>
</table>",[],131
What is the average between not hazardous and hazardous waste of the percentage ratios between 2023 and 2020?,[],one-table-multistep_ratio_average,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Waste management</th>
      <th>Unit</th>
      <th>2019</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Company's waste balance and waste treatment processes(a)</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
    </tr>
    <tr>
      <td>Total volume of processed waste</td>
      <td>kt</td>
      <td>662</td>
      <td>501</td>
      <td>500</td>
      <td>498</td>
      <td>521</td>
    </tr>
    <tr>
      <td>Non-hazardous waste</td>
      <td>kt</td>
      <td>375</td>
      <td>303</td>
      <td>335</td>
      <td>322</td>
      <td>319</td>
    </tr>
    <tr>
      <td>Hazardous waste</td>
      <td>kt</td>
      <td>288</td>
      <td>198</td>
      <td>165</td>
      <td>176</td>
      <td>202</td>
    </tr>
    <tr>
      <td>Reuse(b)</td>
      <td>%</td>
      <td>65</td>
      <td>59</td>
      <td>61</td>
      <td>61</td>
      <td>61</td>
    </tr>
  </tbody>
</table>",[],103.65
What is the value between fresh water withdrawal exclusing cooling water and in water stress areas of the highest percentage ratio between 2021 and 2020?,[],one-table-multistep_ratio_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Environmental footprint</th>
      <th>Unit</th>
      <th>2019</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Atmospheric chronic emissions (excluding GHG)</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>SO2 emissions</td>
      <td>kt</td>
      <td>39</td>
      <td>34</td>
      <td>16</td>
      <td>13</td>
      <td>12</td>
    </tr>
    <tr>
      <td>NOx emissions</td>
      <td>kt</td>
      <td>72</td>
      <td>64</td>
      <td>59</td>
      <td>60</td>
      <td>60</td>
    </tr>
    <tr>
      <td>NMVOC emissions</td>
      <td>kt</td>
      <td>83</td>
      <td>69</td>
      <td>58</td>
      <td>48</td>
      <td>43</td>
    </tr>
    <tr>
      <td>Total particulate matters</td>
      <td>kt</td>
      <td>-</td>
      <td>-</td>
      <td>3.8</td>
      <td>3.9</td>
      <td>4.1</td>
    </tr>
    <tr>
      <td>Discharged water quality</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Offshore continuous water discharges hydrocarbon content</td>
      <td>mg/l</td>
      <td>13</td>
      <td>12.8</td>
      <td>13.7</td>
      <td>12.9</td>
      <td>11.6</td>
    </tr>
    <tr>
      <td>% of sites that meet the target for offshore discharges quality (30 mg/l)(b)</td>
      <td>%</td>
      <td>100</td>
      <td>100</td>
      <td>92</td>
      <td>93</td>
      <td>92</td>
    </tr>
    <tr>
      <td>Onshore continuous water discharges hydrocarbon content</td>
      <td>mg/l</td>
      <td>1.7</td>
      <td>1.9</td>
      <td>2.6</td>
      <td>1.8</td>
      <td>1.9</td>
    </tr>
    <tr>
      <td>% of sites that meet the 2030 target for onshore discharges quality: 1 mg/l</td>
      <td>%</td>
      <td>-</td>
      <td>--</td>
      <td>80</td>
      <td>73</td>
      <td>86</td>
    </tr>
    <tr>
      <td>Water-related indicators</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Fresh water withdrawals excluding open loop cooling water</td>
      <td>Mm3</td>
      <td>115</td>
      <td>105</td>
      <td>101</td>
      <td>107</td>
      <td>102</td>
    </tr>
    <tr>
      <td>Fresh water withdrawal in water stress area(a)</td>
      <td>Mm3</td>
      <td>-</td>
      <td>52</td>
      <td>54</td>
      <td>55</td>
      <td>50</td>
    </tr>
    <tr>
      <td>Fresh water consumption</td>
      <td>Mm3</td>
      <td>75</td>
      <td>75</td>
      <td>80</td>
      <td>76</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Forest related indicators</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Deforested area</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>81</td>
    </tr>
    <tr>
      <td>Compensated area</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>59</td>
    </tr>
    <tr>
      <td>Net deforestation(d)</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>22</td>
    </tr>
  </tbody>
</table>",[],103.85
"What is the value between Nox and NMVOC emissions of the lowest sum in the years 2023, 2019?",[],one-table-multistep_sum_sup,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Environmental footprint</th>
      <th>Unit</th>
      <th>2019</th>
      <th>2020</th>
      <th>2021</th>
      <th>2022</th>
      <th>2023</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>Atmospheric chronic emissions (excluding GHG)</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>SO2 emissions</td>
      <td>kt</td>
      <td>39</td>
      <td>34</td>
      <td>16</td>
      <td>13</td>
      <td>12</td>
    </tr>
    <tr>
      <td>NOx emissions</td>
      <td>kt</td>
      <td>72</td>
      <td>64</td>
      <td>59</td>
      <td>60</td>
      <td>60</td>
    </tr>
    <tr>
      <td>NMVOC emissions</td>
      <td>kt</td>
      <td>83</td>
      <td>69</td>
      <td>58</td>
      <td>48</td>
      <td>43</td>
    </tr>
    <tr>
      <td>Total particulate matters</td>
      <td>kt</td>
      <td>-</td>
      <td>-</td>
      <td>3.8</td>
      <td>3.9</td>
      <td>4.1</td>
    </tr>
    <tr>
      <td>Discharged water quality</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Offshore continuous water discharges hydrocarbon content</td>
      <td>mg/l</td>
      <td>13</td>
      <td>12.8</td>
      <td>13.7</td>
      <td>12.9</td>
      <td>11.6</td>
    </tr>
    <tr>
      <td>% of sites that meet the target for offshore discharges quality (30 mg/l)(b)</td>
      <td>%</td>
      <td>100</td>
      <td>100</td>
      <td>92</td>
      <td>93</td>
      <td>92</td>
    </tr>
    <tr>
      <td>Onshore continuous water discharges hydrocarbon content</td>
      <td>mg/l</td>
      <td>1.7</td>
      <td>1.9</td>
      <td>2.6</td>
      <td>1.8</td>
      <td>1.9</td>
    </tr>
    <tr>
      <td>% of sites that meet the 2030 target for onshore discharges quality: 1 mg/l</td>
      <td>%</td>
      <td>-</td>
      <td>--</td>
      <td>80</td>
      <td>73</td>
      <td>86</td>
    </tr>
    <tr>
      <td>Water-related indicators</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Fresh water withdrawals excluding open loop cooling water</td>
      <td>Mm3</td>
      <td>115</td>
      <td>105</td>
      <td>101</td>
      <td>107</td>
      <td>102</td>
    </tr>
    <tr>
      <td>Fresh water withdrawal in water stress area(a)</td>
      <td>Mm3</td>
      <td>-</td>
      <td>52</td>
      <td>54</td>
      <td>55</td>
      <td>50</td>
    </tr>
    <tr>
      <td>Fresh water consumption</td>
      <td>Mm3</td>
      <td>75</td>
      <td>75</td>
      <td>80</td>
      <td>76</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Forest related indicators</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <td>Deforested area</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>81</td>
    </tr>
    <tr>
      <td>Compensated area</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>59</td>
    </tr>
    <tr>
      <td>Net deforestation(d)</td>
      <td>ha</td>
      <td>-</td>
      <td>-</td>
      <td>-</td>
      <td>0</td>
      <td>22</td>
    </tr>
  </tbody>
</table>",[],126
"What are the top 6 highest values between different sources of energy consumption of the sums (in descending order) between the years 2022, 2023?",[],one-table-multistep_sum_ranking,"Table 0

<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>GRI</th>
      <th>Indicators</th>
      <th>Units</th>
      <th>2023</th>
      <th>2022</th>
      <th>2021</th>
      <th>2020</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>302-1,\n302-4</td>
      <td>Measured renewable electricity generated on site and sold back to the grid</td>
      <td>MWh</td>
      <td>2960</td>
      <td>2263</td>
      <td>2558</td>
      <td>2734</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>SSE #3 - Measured electricity sourced from renewables</td>
      <td>%</td>
      <td>88%</td>
      <td>85%</td>
      <td>82%</td>
      <td>80%</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>Estimated energy consumption by source</td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
      <td></td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>grid electricity</td>
      <td>MWh</td>
      <td>92379</td>
      <td>107019</td>
      <td>148720</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>purchased renewable electricity</td>
      <td>MWh</td>
      <td>72632</td>
      <td>77831</td>
      <td>40443</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>self generated renewable electricity</td>
      <td>MWh</td>
      <td>0</td>
      <td>0</td>
      <td>0</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>district heating</td>
      <td>MWh</td>
      <td>2490</td>
      <td>2829</td>
      <td>5491</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>fuel oil</td>
      <td>MWh</td>
      <td>1013</td>
      <td>855</td>
      <td>797</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>gas</td>
      <td>MWh</td>
      <td>21008</td>
      <td>33245</td>
      <td>49674</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>coal</td>
      <td>MWh</td>
      <td>0</td>
      <td>0</td>
      <td>0</td>
      <td>UP</td>
    </tr>
    <tr>
      <td>NaN</td>
      <td>renewable fuel and heat</td>
      <td>MWh</td>
      <td>0</td>
      <td>0</td>
      <td>0</td>
      <td>UP</td>
    </tr>
  </tbody>
</table>",[],"199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0"
