index,question,value,response
0,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,4.13, 4.13
1,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1065890.2, 1065890.20
2,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,20.67, 20.67 mtco2eq
3,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71, 606619.56 million kwh
4,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3, 26060514.55
5,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.92, 13.92
6,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66, 3.66 million mt co2e
7,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025651.6, 4471803.00 metric tons
8,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28, 0.28
9,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,14837.29, 23502813.80 tco2e
10,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,12.52, 12.52
11,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,1.26, 1.26
12,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28, 1.28
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2, 16966056.20
14,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,276785.4, 276785.40
15,What is the total amount of waste generated from 2022 to 2023 among the following companies?,280642.6, 2726794.00 tonnes
16,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,1285991.0, 1285991.00
17,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04, 351.04 twh
18,What is the average energy consumption from 2023 to 2022 among the following companies?,139583.04," 49791878.13, 52567500.36"
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2, 1283792.20
20,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2025890.6, 3454061.00 tonnes
21,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,941063.8, 941063.80 tco2eq
22,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,1383927.0, 1383927.00
23,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1161478.0, 1161478.00
24,What is the average energy consumption from 2023 to 2022 among the following companies?,302832.93," 161.50, 1162801.50, 12747.00, 338421.50, 33.18"
25,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44," 161.50, 34774.50, 1162801.50, 338421.50, 33.18"
26,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28, 21.28 mtco2eq
27,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in Million metric tons of CO2 equivalents?,14.5, 14.50
28,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,1.38, 1.38 million mt co2e
29,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,1941826.18, 1941826.18 tj
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8, 293979.80 tons co2e
31,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2-eq?,1469899.0, 1469899.00
32,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49, 23497290.00
33,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.1, 21.10
34,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,418761.6, 418761.60
35,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.29, 0.29
36,What is the average energy consumption from 2023 to 2022 among the following companies?,24941.64," 76992.00, 161.50, 34774.50, 12747.00, 33.18"
37,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6, 16400239.60 tco2e
38,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,418673.96, 418673.96 million kwh
39,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2," 11172374.80, 13875431.60"
40,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tons CO2e?,16987870.4, 16987870.40
41,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2005514.6, 4451666.00 t
42,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,1.13, 1.13 mtco2eq
43,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,4126790.0, 4126790.00 tco2eq
44,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.47, 1.47
45,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8, 261063.80
46,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,13.28, 13.28
47,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1771368.6, 4217520.00 tons
48,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6, 1160219.60 tco2eq
49,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,6910384.8, 6910384.80
