index,question,value,response,correct
0,What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"3280000.0, 112228.0"," 3280000.00,112228.00",False
1,Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,"otc_esocf, nyse_az"," otc_esocf 3280000.00, nyse_az 112228.00",False
2,What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,"142457.0, 14249.0, 3193.0"," 142457.00, 14249.00, 3193.00",True
3,What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,5.1, 5.10 mtco2eq,True
4,What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,"8430.0, 123311.0"," 8430.00, 123311.00",True
5,What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"168709.0, 770748.0"," 168709.00, 770748.00",True
6,What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,71.22, 71.22,True
7,Which companies have the 3 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in kt?,"vivendi, otc_su, nyse_tte"," vivendi (8.43 kt), otc_su (123.31 kt), nyse_tte (322.00 kt)",False
8,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"7635784.0, 3130824.0"," 7635784.00, 3130824.00",True
9,Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,otc_bayzf, otc_bayzf,True
10,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,"otc_bayzf, otc_adddf, vivendi"," otc_bayzf, otc_adddf, vivendi",True
11,What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,"565200.0, 329775.0"," 565200.00, 329775.00",True
12,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,"nyse_tte, otc_su"," nyse_tte, otc_su",True
13,Which companies have the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"vivendi, otc_bayzf"," vivendi, otc_bayzf",True
14,What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,"33.09, 1124.33, 35056.0"," 33.09, 1124.33, 35056.00",True
15,What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,927.88," 927.88, 818.39",False
16,Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,"nyse_tte, heidelberg-materials"," nyse_tte, heidelberg-materials",True
17,Which company has the highest amount of waste generated in the years 2023 and 2022 among the following companies in kt?,heidelberg-materials," 2023: nyse_tte, 2022: heidelberg-materials",False
18,What are the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,"0.04, 0.11, 3.28"," 0.04, 0.11, 3.28",True
19,Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2-eq?,"munich-re, vivendi, nasdaq_dasty"," munich-re, vivendi, nasdaq_dasty",True
20,Which companies have the top 3 lowest water consumption values (in ascending order) for the year 2023 among the following companies in millions of cu.m?,"otc_bamgf, otc_crerf, otc_esocf"," otc_bamgf (5.05), otc_crerf (8.20), otc_esocf (35.40)",False
21,What are the 3 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"0.03, 0.14, 1.12"," 0.03, 0.14, 1.12",True
22,Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2eq?,axa," axa, 42423.00",False
23,Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"vivendi, nyse_az, munich-re"," vivendi 10291.00, nyse_az 31774.00, munich-re 33093.00",False
24,What is the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.11, 1.11,True
25,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,otc_bayzf, otc_bayzf 1.11,False
26,What is the highest water consumption in the years 2023 and 2022 for the following companies in m3?,45200000.0," 5049144.00, 6780000.00, 45200000.00",False
27,What are the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"5100000.0, 1120000.0"," 5100000.00, 1120000.00",True
28,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,9180000.0, 9180000.00,True
29,Which companies have the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in MWh?,"nasdaq_dasty, otc_dpsgy, nyse_tte"," nasdaq_dasty, otc_dpsgy, nyse_tte",True
30,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"otc_rwnef, munich-re"," otc_rwnef, munich-re",True
31,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 7635784.0"," 71040000.00, 7635784.00",True
32,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tons CO2e?,7799933.0, 7799933.00,True
33,Which companies have the 3 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,"nyse_az, otc_adddf, otc_bayzf"," nyse_az (0.03), otc_adddf (0.14), otc_bayzf (1.12)",False
34,What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in Million metric tons of CO2 equivalents?,9.72, 9.72,True
35,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"23.8, 9.72"," 23.80, 9.72",True
36,What is the highest energy consumed in the last 2 years among the following companies in GWh?,13253.0, 13253.00,True
37,What are the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,"0.0, 0.02, 61.9"," 0.00, 0.02, 61.90",True
38,Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,"nyse_az, vivendi"," nyse_az 92467.00, vivendi 770748.00",False
39,Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,"otc_bayzf, nyse_az"," otc_bayzf, nyse_az",True
40,What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"1120000.0, 37172.0, 19496.0"," 1120000.00, 37172.00, 19496.00",True
41,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,5894811.0, 5894811.00,True
42,Which companies have the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,"otc_bayzf, axa, vivendi"," otc_bayzf, axa, vivendi",True
43,What are the 3 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,"322000.0, 123311.0, 8430.0"," 322000.00, 123311.00, 8430.00",True
44,Which company has the highest energy consumed in the last 2 years among the following companies in million kWh?,otc_dpsgy," otc_dpsgy, 69549.00",False
45,Which company has the largest energy consumption from 2022 to 2023 among the following companies?,munich-re, munich-re,True
46,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,nasdaq_dasty," nasdaq_dasty, 153.98 million kwh",False
47,What are the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in TWh?,"1.12, 12.24, 157.0"," 1.12, 12.24, 157.00",True
48,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068," 96,407,777.78 mwh",False
49,What are the 3 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in kt?,"8.43, 123.31, 322.0"," 8.43, 123.31, 322.00",True
