,Question,SQL Query,Method,Table,Label
0,How many years has the highest-rated employee in the Marketing division been with the company?,"SELECT YearsAtCompany FROM EmployeePerformance WHERE Department = ""Marketing"" AND PerformanceRating = ""Excellent"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>YearsAtCompany</th>
      <th>0</th>
      <th>2</th>
      <th>4</th>
      <th>10</th>
      <th>12</th>
      <th colspan=""2"" halign=""left"">15</th>
      <th>16</th>
      <th colspan=""2"" halign=""left"">17</th>
      <th colspan=""2"" halign=""left"">19</th>
      <th>21</th>
      <th>28</th>
      <th>31</th>
      <th>32</th>
      <th>33</th>
      <th colspan=""2"" halign=""left"">41</th>
      <th>50</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>HR</th>
      <th>Engineering</th>
      <th>Sales</th>
      <th>Finance</th>
      <th>Engineering</th>
      <th>Finance</th>
      <th>Sales</th>
      <th>HR</th>
      <th>Engineering</th>
      <th>Marketing</th>
      <th>Engineering</th>
      <th>Marketing</th>
      <th>HR</th>
      <th>Sales</th>
      <th>Marketing</th>
      <th>HR</th>
      <th>Finance</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Finance</th>
    </tr>
    <tr>
      <th>PerformanceRating</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Average</th>
      <td>160674.747174</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>78038.856249</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>102454.02034</td>
      <td>134567.2508</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>198927.310734</td>
    </tr>
    <tr>
      <th>Excellent</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>62585.670064</td>
      <td>195185.670394</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>182197.802582</td>
      <td>122312.236662</td>
      <td>110824.460434</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Good</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>79306.747295</td>
      <td>NaN</td>
      <td>121484.776234</td>
      <td>79048.109119</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>60834.256642</td>
      <td>170631.729112</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Poor</th>
      <td>NaN</td>
      <td>175622.045181</td>
      <td>NaN</td>
      <td>123345.960452</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>198583.261097</td>
      <td>187862.291286</td>
      <td>124560.132878</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",41.0
1,What is the budget allocated to the Development team for Project Beta before any work has commenced?,"SELECT Budget FROM ProjectMetrics WHERE ProjectName = ""Project Beta"" AND Department = ""Development"" AND Status = ""Not Started"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>Status</th>
      <th colspan=""3"" halign=""left"">Completed</th>
      <th colspan=""3"" halign=""left"">In Progress</th>
      <th colspan=""3"" halign=""left"">Not Started</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>Development</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Development</th>
      <th>Marketing</th>
      <th>Sales</th>
      <th>Development</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
    <tr>
      <th>ProjectName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Project Alpha</th>
      <td>139044.988001</td>
      <td>809945.736867</td>
      <td>397442.573056</td>
      <td>876332.670506</td>
      <td>595808.065493</td>
      <td>125462.357111</td>
      <td>216987.207505</td>
      <td>423726.883144</td>
      <td>170393.984533</td>
    </tr>
    <tr>
      <th>Project Beta</th>
      <td>127114.364216</td>
      <td>937663.609277</td>
      <td>70883.340361</td>
      <td>968725.213627</td>
      <td>255551.725739</td>
      <td>251700.229287</td>
      <td>177848.803125</td>
      <td>265094.071504</td>
      <td>389831.352991</td>
    </tr>
    <tr>
      <th>Project Gamma</th>
      <td>817392.117045</td>
      <td>104779.217498</td>
      <td>187091.116246</td>
      <td>556401.370478</td>
      <td>915045.913357</td>
      <td>153275.220124</td>
      <td>563355.032115</td>
      <td>924028.496591</td>
      <td>336064.415808</td>
    </tr>
  </tbody>
</table>",177848.803125
2,What was the collaboration rating achieved by the Marketing department on Project D when that project was terminated before completion?,"SELECT CollaborationScore FROM TeamCollaboration WHERE TeamName = ""Marketing"" AND ProjectName = ""Project D"" AND Status = ""Cancelled"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>TeamName</th>
      <th colspan=""4"" halign=""left"">Design</th>
      <th colspan=""4"" halign=""left"">Development</th>
      <th colspan=""4"" halign=""left"">Marketing</th>
      <th colspan=""4"" halign=""left"">Sales</th>
    </tr>
    <tr>
      <th>ProjectName</th>
      <th>Project A</th>
      <th>Project B</th>
      <th>Project C</th>
      <th>Project D</th>
      <th>Project A</th>
      <th>Project B</th>
      <th>Project C</th>
      <th>Project D</th>
      <th>Project A</th>
      <th>Project B</th>
      <th>Project C</th>
      <th>Project D</th>
      <th>Project A</th>
      <th>Project B</th>
      <th>Project C</th>
      <th>Project D</th>
    </tr>
    <tr>
      <th>Status</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Active</th>
      <td>2.590180</td>
      <td>2.740191</td>
      <td>1.162380</td>
      <td>7.231436</td>
      <td>3.116745</td>
      <td>9.906491</td>
      <td>9.587728</td>
      <td>9.738519</td>
      <td>2.827105</td>
      <td>6.063555</td>
      <td>1.155769</td>
      <td>2.020473</td>
      <td>5.333281</td>
      <td>9.054838</td>
      <td>1.574495</td>
      <td>1.856237</td>
    </tr>
    <tr>
      <th>Cancelled</th>
      <td>5.905757</td>
      <td>9.157146</td>
      <td>7.551743</td>
      <td>8.183873</td>
      <td>0.974469</td>
      <td>3.285781</td>
      <td>9.061620</td>
      <td>7.595434</td>
      <td>2.510985</td>
      <td>3.426265</td>
      <td>0.701498</td>
      <td>6.816861</td>
      <td>2.786838</td>
      <td>4.226311</td>
      <td>9.570465</td>
      <td>9.013842</td>
    </tr>
    <tr>
      <th>Completed</th>
      <td>2.134046</td>
      <td>0.118282</td>
      <td>1.163208</td>
      <td>7.287945</td>
      <td>9.091221</td>
      <td>8.537085</td>
      <td>9.209945</td>
      <td>0.935542</td>
      <td>4.688933</td>
      <td>9.067184</td>
      <td>4.670951</td>
      <td>8.682096</td>
      <td>0.336986</td>
      <td>6.106650</td>
      <td>2.933845</td>
      <td>2.881041</td>
    </tr>
    <tr>
      <th>On Hold</th>
      <td>7.553261</td>
      <td>7.952379</td>
      <td>0.359272</td>
      <td>8.532062</td>
      <td>9.185671</td>
      <td>6.369465</td>
      <td>6.213203</td>
      <td>0.134059</td>
      <td>0.226501</td>
      <td>1.783923</td>
      <td>1.776794</td>
      <td>4.775901</td>
      <td>4.313192</td>
      <td>3.367050</td>
      <td>8.322723</td>
      <td>6.742747</td>
    </tr>
  </tbody>
</table>",6.816861
3,What was the total sales amount generated by Eva for the Books category in the southern sales territory?,"SELECT SalesAmount FROM SalesData WHERE ProductCategory = ""Books"" AND SalesRegion = ""South"" AND SalesPerson = ""Eva"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>ProductCategory</th>
      <th colspan=""5"" halign=""left"">Books</th>
      <th colspan=""5"" halign=""left"">Clothing</th>
      <th colspan=""5"" halign=""left"">Electronics</th>
      <th colspan=""5"" halign=""left"">Home</th>
      <th colspan=""5"" halign=""left"">Toys</th>
    </tr>
    <tr>
      <th>SalesPerson</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>David</th>
      <th>Eva</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>David</th>
      <th>Eva</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>David</th>
      <th>Eva</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>David</th>
      <th>Eva</th>
      <th>Alice</th>
      <th>Bob</th>
      <th>Charlie</th>
      <th>David</th>
      <th>Eva</th>
    </tr>
    <tr>
      <th>SalesRegion</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>East</th>
      <td>5123.992437</td>
      <td>8169.697654</td>
      <td>2229.415313</td>
      <td>7772.262621</td>
      <td>4113.910274</td>
      <td>4039.135167</td>
      <td>8619.092336</td>
      <td>2754.893914</td>
      <td>3437.888510</td>
      <td>3765.636426</td>
      <td>2190.213263</td>
      <td>2747.805452</td>
      <td>419.135159</td>
      <td>88.252618</td>
      <td>9331.897944</td>
      <td>7855.158777</td>
      <td>158.605417</td>
      <td>8575.323454</td>
      <td>9400.040619</td>
      <td>4089.255563</td>
      <td>1582.206008</td>
      <td>5497.805624</td>
      <td>5674.515869</td>
      <td>77.356774</td>
      <td>6210.714470</td>
    </tr>
    <tr>
      <th>North</th>
      <td>8424.438731</td>
      <td>5919.559577</td>
      <td>5406.898642</td>
      <td>4262.448678</td>
      <td>2020.735254</td>
      <td>3248.566781</td>
      <td>568.737274</td>
      <td>3169.451455</td>
      <td>6177.621458</td>
      <td>8330.199948</td>
      <td>536.553197</td>
      <td>2129.895611</td>
      <td>1968.710362</td>
      <td>3666.487809</td>
      <td>9826.120799</td>
      <td>6232.884873</td>
      <td>262.271422</td>
      <td>1786.701336</td>
      <td>7660.943408</td>
      <td>4084.265299</td>
      <td>4117.206945</td>
      <td>7515.624529</td>
      <td>4800.437996</td>
      <td>937.525302</td>
      <td>8524.976227</td>
    </tr>
    <tr>
      <th>South</th>
      <td>5465.533147</td>
      <td>8697.544130</td>
      <td>1568.972564</td>
      <td>2864.717091</td>
      <td>112.513459</td>
      <td>1305.846487</td>
      <td>1693.924172</td>
      <td>7864.669219</td>
      <td>5546.358200</td>
      <td>2797.799139</td>
      <td>1047.635434</td>
      <td>6421.587986</td>
      <td>3952.947956</td>
      <td>7032.204498</td>
      <td>95.623321</td>
      <td>9728.304236</td>
      <td>7498.151661</td>
      <td>9344.873637</td>
      <td>3643.180832</td>
      <td>5256.047587</td>
      <td>245.337340</td>
      <td>3413.445906</td>
      <td>8406.814312</td>
      <td>9682.179697</td>
      <td>9420.844385</td>
    </tr>
    <tr>
      <th>West</th>
      <td>5161.934326</td>
      <td>3978.151785</td>
      <td>7649.966277</td>
      <td>8970.342346</td>
      <td>9299.230119</td>
      <td>8398.741687</td>
      <td>7343.287896</td>
      <td>3521.218900</td>
      <td>298.742419</td>
      <td>4988.682326</td>
      <td>2936.300084</td>
      <td>7898.463550</td>
      <td>4241.879202</td>
      <td>5440.476731</td>
      <td>6671.133272</td>
      <td>9735.599217</td>
      <td>342.538763</td>
      <td>3707.793885</td>
      <td>3426.808516</td>
      <td>3106.390863</td>
      <td>237.345055</td>
      <td>1631.404694</td>
      <td>340.514000</td>
      <td>794.269926</td>
      <td>2006.528915</td>
    </tr>
  </tbody>
</table>",112.513459
4,What is the average score given by customers who felt neutral about clothing items?,"SELECT FeedbackScore FROM CustomerFeedback WHERE FeedbackType = ""Neutral"" AND ProductCategory = ""Clothing"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>FeedbackType</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Books</th>
      <td>1.969409</td>
      <td>1.625893</td>
      <td>1.865565</td>
    </tr>
    <tr>
      <th>Clothing</th>
      <td>3.811163</td>
      <td>4.001783</td>
      <td>4.815963</td>
    </tr>
    <tr>
      <th>Electronics</th>
      <td>4.570052</td>
      <td>2.700734</td>
      <td>1.199830</td>
    </tr>
    <tr>
      <th>Home Appliances</th>
      <td>3.606617</td>
      <td>4.755346</td>
      <td>4.807285</td>
    </tr>
    <tr>
      <th>Toys</th>
      <td>1.723319</td>
      <td>2.021704</td>
      <td>3.603968</td>
    </tr>
  </tbody>
</table>",4.001783
5,What is the current inventory count of grocery items supplied by SupplierA?,"SELECT StockLevel FROM InventoryManagement WHERE ItemCategory = ""Groceries"" AND Supplier = ""SupplierA"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ItemCategory</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Furniture</th>
      <th>Groceries</th>
      <th>Toys</th>
    </tr>
    <tr>
      <th>Supplier</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>SupplierA</th>
      <td>103.284861</td>
      <td>469.505828</td>
      <td>867.408311</td>
      <td>967.586665</td>
      <td>721.289315</td>
    </tr>
    <tr>
      <th>SupplierB</th>
      <td>702.094326</td>
      <td>642.739459</td>
      <td>342.586769</td>
      <td>147.914010</td>
      <td>757.152299</td>
    </tr>
    <tr>
      <th>SupplierC</th>
      <td>139.639216</td>
      <td>551.375255</td>
      <td>14.994159</td>
      <td>137.511848</td>
      <td>198.328054</td>
    </tr>
  </tbody>
</table>",967.586665
6,What percentage of staff are currently undergoing the compliance training program focused on technical skills?,"SELECT TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Technical Skills"" AND TrainingType = ""Compliance"" AND CompletionStatus = ""In Progress"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>CompletionStatus</th>
      <th>Completed</th>
      <th>In Progress</th>
      <th>Not Started</th>
    </tr>
    <tr>
      <th>TrainingProgram</th>
      <th>TrainingType</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Compliance Training</th>
      <th>Compliance</th>
      <td>28.996582</td>
      <td>6.484422</td>
      <td>13.984145</td>
    </tr>
    <tr>
      <th>Soft Skills</th>
      <td>39.500382</td>
      <td>24.690318</td>
      <td>2.596901</td>
    </tr>
    <tr>
      <th>Technical</th>
      <td>5.869609</td>
      <td>23.191961</td>
      <td>22.345036</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Customer Service Excellence</th>
      <th>Compliance</th>
      <td>22.290417</td>
      <td>32.282081</td>
      <td>36.394788</td>
    </tr>
    <tr>
      <th>Soft Skills</th>
      <td>2.476827</td>
      <td>20.606477</td>
      <td>30.008432</td>
    </tr>
    <tr>
      <th>Technical</th>
      <td>2.166706</td>
      <td>31.845607</td>
      <td>30.342812</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Leadership Development</th>
      <th>Compliance</th>
      <td>8.148543</td>
      <td>21.895395</td>
      <td>32.719798</td>
    </tr>
    <tr>
      <th>Soft Skills</th>
      <td>23.308659</td>
      <td>31.455245</td>
      <td>12.895512</td>
    </tr>
    <tr>
      <th>Technical</th>
      <td>5.420447</td>
      <td>28.509649</td>
      <td>1.577571</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Technical Skills</th>
      <th>Compliance</th>
      <td>16.270847</td>
      <td>14.976964</td>
      <td>6.982501</td>
    </tr>
    <tr>
      <th>Soft Skills</th>
      <td>22.703993</td>
      <td>8.401478</td>
      <td>29.301293</td>
    </tr>
    <tr>
      <th>Technical</th>
      <td>19.386233</td>
      <td>21.307374</td>
      <td>20.630529</td>
    </tr>
  </tbody>
</table>",14.976964
7,What is the satisfaction rating assigned to managerial employees working in the human resources department?,"SELECT SatisfactionScore FROM EmployeeSatisfaction WHERE Department = ""HR"" AND JobRole = ""Manager"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>JobRole</th>
      <th>Analyst</th>
      <th>Developer</th>
      <th>Manager</th>
      <th>Salesperson</th>
    </tr>
    <tr>
      <th>Department</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Engineering</th>
      <td>7.159905</td>
      <td>3.844026</td>
      <td>5.491832</td>
      <td>3.043722</td>
    </tr>
    <tr>
      <th>HR</th>
      <td>9.538989</td>
      <td>4.200093</td>
      <td>2.963510</td>
      <td>7.221456</td>
    </tr>
    <tr>
      <th>Marketing</th>
      <td>5.565593</td>
      <td>1.163529</td>
      <td>3.318489</td>
      <td>7.317745</td>
    </tr>
    <tr>
      <th>Sales</th>
      <td>8.178249</td>
      <td>9.868177</td>
      <td>6.798888</td>
      <td>6.882838</td>
    </tr>
  </tbody>
</table>",2.96351
8,What is the feedback rating given by employees in the marketing team who have been with the company for less than or equal to one year and exhibit a low level of engagement?,"SELECT FeedbackScore FROM EmployeeEngagement WHERE EngagementLevel = ""Low"" AND Department = ""Marketing"" AND Tenure = ""0-1 years"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>EngagementLevel</th>
      <th>High</th>
      <th>Low</th>
      <th>Medium</th>
    </tr>
    <tr>
      <th>Department</th>
      <th>Tenure</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">HR</th>
      <th>0-1 years</th>
      <td>6.766653</td>
      <td>0.196134</td>
      <td>9.101952</td>
    </tr>
    <tr>
      <th>1-3 years</th>
      <td>4.747538</td>
      <td>7.954066</td>
      <td>6.069192</td>
    </tr>
    <tr>
      <th>3-5 years</th>
      <td>7.219264</td>
      <td>4.275036</td>
      <td>4.904750</td>
    </tr>
    <tr>
      <th>5+ years</th>
      <td>0.560018</td>
      <td>4.030693</td>
      <td>8.150910</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">IT</th>
      <th>0-1 years</th>
      <td>0.934591</td>
      <td>0.397394</td>
      <td>8.045461</td>
    </tr>
    <tr>
      <th>1-3 years</th>
      <td>1.859125</td>
      <td>3.572016</td>
      <td>0.044201</td>
    </tr>
    <tr>
      <th>3-5 years</th>
      <td>7.819237</td>
      <td>5.951644</td>
      <td>4.655475</td>
    </tr>
    <tr>
      <th>5+ years</th>
      <td>6.643771</td>
      <td>5.915840</td>
      <td>5.322831</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Marketing</th>
      <th>0-1 years</th>
      <td>2.883095</td>
      <td>8.297435</td>
      <td>0.047695</td>
    </tr>
    <tr>
      <th>1-3 years</th>
      <td>1.735515</td>
      <td>6.243355</td>
      <td>6.691101</td>
    </tr>
    <tr>
      <th>3-5 years</th>
      <td>6.683829</td>
      <td>6.860533</td>
      <td>8.790368</td>
    </tr>
    <tr>
      <th>5+ years</th>
      <td>9.776322</td>
      <td>9.194220</td>
      <td>6.418673</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Sales</th>
      <th>0-1 years</th>
      <td>7.512494</td>
      <td>9.199583</td>
      <td>3.683212</td>
    </tr>
    <tr>
      <th>1-3 years</th>
      <td>7.065380</td>
      <td>0.340370</td>
      <td>0.259549</td>
    </tr>
    <tr>
      <th>3-5 years</th>
      <td>2.295087</td>
      <td>8.042171</td>
      <td>2.186744</td>
    </tr>
    <tr>
      <th>5+ years</th>
      <td>1.382817</td>
      <td>7.417401</td>
      <td>8.270125</td>
    </tr>
  </tbody>
</table>",8.297435
9,What is the average customer rating for Home products based on feedback collected from the Website platform?,"SELECT ReviewRating FROM ProductReviews WHERE ProductCategory = ""Home"" AND ReviewSource = ""Website"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProductCategory</th>
      <th>Books</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home</th>
      <th>Toys</th>
    </tr>
    <tr>
      <th>ReviewSource</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>App</th>
      <td>4.606886</td>
      <td>0.625100</td>
      <td>4.574350</td>
      <td>0.703106</td>
      <td>2.564766</td>
    </tr>
    <tr>
      <th>Social Media</th>
      <td>4.876244</td>
      <td>0.819119</td>
      <td>4.364092</td>
      <td>1.539594</td>
      <td>0.870754</td>
    </tr>
    <tr>
      <th>Website</th>
      <td>1.936866</td>
      <td>0.025228</td>
      <td>2.803697</td>
      <td>3.124318</td>
      <td>0.807648</td>
    </tr>
  </tbody>
</table>",3.124318
