index,question,value,response,correct
0,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0, 2890217.00 mwh,True
1,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.05, 0.05,True
2,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,1.11, 1.11,True
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,11075.0, 11075.00,True
4,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12, 0.12,True
5,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34, 169270.47,False
6,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747286.0, 2765267.00,False
7,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,154651.0, 154651.00,True
8,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,69615.35," 69549.00,66.35",False
9,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1, 0.10,True
10,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0, 28632509.00,True
11,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,222042.0, 222042.00,True
12,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5, 121146.50,True
13,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,13.47, 13.47,True
14,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,32.86, 32.86,True
15,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,569155.0, 569155.00 tco2e,True
16,What is the average energy consumption from 2023 to 2022 among the following companies?,55883.25, 17425746.00 mwh,False
17,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,20138555.0, 20138555.00,True
18,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5, 86391.50,True
19,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,569748.0, 569748.00,True
20,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.34, 0.34,True
21,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,160942.0, 160942.00,True
22,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0, 1609479.00,True
23,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.14, 1.14,True
24,What is the total amount of waste generated from 2022 to 2023 among the following companies?,1747525.0, 1747525.00,True
25,What is the average energy consumption from 2023 to 2022 among the following companies?,6390.09, 6390.09 gwh,True
26,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.61, 0.61,True
27,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in Million metric tons of CO2 equivalents?,2.81, 2.81,True
28,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,134270.0, 134270.00,True
29,What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tons CO2e?,14222384.0, 14222384.00 tco2e,True
30,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,107124.5, 107124.50,True
31,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.56, 0.56,True
32,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,80894.5, 80894.50,True
33,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,78353.0, 78353.00,True
34,What is the average energy consumption from 2023 to 2022 among the following companies?,722554.25," 1162801.50, 282307.00",False
35,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,64465.0, 64465.00,True
36,What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,20.38," 17.92, 22.84",False
37,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tCO2e?,214249.0, 214249.00,True
38,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in TCO2eq?,12285374.0, 12285374.00 tco2eq,True
39,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.48, 3.48,True
40,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in million mt CO2e?,39.06, 39.07,False
41,What is the total energy consumption generated by the following companies in the last 4 years in MWh?,622867939.0, 622867939.00,True
42,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1262293.0, 1262293.00,True
43,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,2.62, 2.62,True
44,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2-eq?,561662.0, 561662.00,True
45,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,0.66, 0.66,True
46,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,16.76, 16.76,True
47,What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,184187.0, 184187.00,True
48,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,35.6, 35.61 mtco2eq,False
49,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,86584.5, 86584.50,True
