,Question,SQL Query,Method,Table,Label
0,In which year did the Engineering department have a Manager in their Employee Performance records?,"SELECT Year FROM EmployeePerformance WHERE Department = ""Engineering"" AND JobTitle = ""Manager""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>Engineering</th>
      <th>Finance</th>
      <th>HR</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>84.770380</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>66.063935</td>
    </tr>
    <tr>
      <th></th>
      <td>91.702605</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>59.813766</td>
      <td>79.167430</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>25.481850</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>8.682049</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>36.846098</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>9.808184</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>76.066280</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>75.519350</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>28.451653</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>99.852585</td>
    </tr>
    <tr>
      <th></th>
      <td>61.128616</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>34.881039</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>2.445482</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>42.468062</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>18.392025</td>
    </tr>
    <tr>
      <th></th>
      <td>13.267776</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>12.809857</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",2021.0
1,What is the total sales figure for the Electronics category in the Southern region?,"SELECT SalesAmount FROM SalesData WHERE ProductCategory = ""Electronics"" AND SalesRegion = ""South""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>SalesRegion</th>
      <th>East</th>
      <th>South</th>
      <th>West</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>2792.361626</td>
      <td>6013.210583</td>
    </tr>
    <tr>
      <th></th>
      <td>8148.577211</td>
      <td>8101.626102</td>
      <td>5229.145175</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>2711.011511</td>
      <td>7665.777489</td>
    </tr>
  </tbody>
</table>",8101.626102353806
2,What is the rating given by customers who expressed extreme dissatisfaction with home appliances in the negative feedback category?,"SELECT Rating FROM CustomerFeedback WHERE FeedbackType = ""Negative"" AND ProductCategory = ""Home Appliances"" AND SatisfactionLevel = ""Very Dissatisfied""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>ProductCategory</th>
      <th colspan=""3"" halign=""left"">Clothing</th>
      <th colspan=""3"" halign=""left"">Electronics</th>
      <th colspan=""3"" halign=""left"">Home Appliances</th>
    </tr>
    <tr>
      <th>FeedbackType</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
      <th>Negative</th>
      <th>Neutral</th>
      <th>Positive</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>1.616159</td>
      <td>3.560641</td>
      <td>3.500163</td>
      <td>4.414781</td>
      <td>4.202649</td>
      <td>2.198025</td>
      <td>2.162118</td>
      <td>2.252798</td>
      <td>3.456553</td>
    </tr>
    <tr>
      <th></th>
      <td>3.475763</td>
      <td>3.407001</td>
      <td>2.080149</td>
      <td>1.338881</td>
      <td>4.771745</td>
      <td>3.101704</td>
      <td>3.250900</td>
      <td>2.430367</td>
      <td>2.437329</td>
    </tr>
    <tr>
      <th></th>
      <td>1.616399</td>
      <td>3.784323</td>
      <td>1.569425</td>
      <td>3.997786</td>
      <td>2.002803</td>
      <td>2.470734</td>
      <td>1.284016</td>
      <td>3.953278</td>
      <td>2.495875</td>
    </tr>
    <tr>
      <th></th>
      <td>1.572430</td>
      <td>3.440346</td>
      <td>3.731840</td>
      <td>1.577963</td>
      <td>4.935081</td>
      <td>1.339777</td>
      <td>2.252737</td>
      <td>2.433431</td>
      <td>4.074346</td>
    </tr>
  </tbody>
</table>",1.2840164906189968
3,What is the average rating given by reviewers from Germany for products in the Home category?,"SELECT ReviewRating FROM ProductReviews WHERE ProductCategory = ""Home"" AND ReviewerLocation = ""Germany""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProductCategory</th>
      <th>Books</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home</th>
      <th>Toys</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>0.040569</td>
      <td>3.022335</td>
      <td>1.579719</td>
      <td>2.033723</td>
      <td>1.986864</td>
    </tr>
    <tr>
      <th></th>
      <td>4.075241</td>
      <td>1.072704</td>
      <td>1.300709</td>
      <td>0.267038</td>
      <td>2.490401</td>
    </tr>
    <tr>
      <th></th>
      <td>2.193710</td>
      <td>4.268561</td>
      <td>4.840641</td>
      <td>4.822180</td>
      <td>4.574963</td>
    </tr>
    <tr>
      <th></th>
      <td>1.429587</td>
      <td>3.126123</td>
      <td>3.424514</td>
      <td>1.686981</td>
      <td>4.587593</td>
    </tr>
    <tr>
      <th></th>
      <td>4.624477</td>
      <td>0.936619</td>
      <td>3.370187</td>
      <td>4.057806</td>
      <td>2.928972</td>
    </tr>
  </tbody>
</table>",4.822180237841115
4,What is the total sales figure for T-shirts categorized under electronics?,"SELECT SalesAmount FROM ProductSales WHERE ProductName = ""T-shirt"" AND Category = ""Electronics""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Category</th>
      <th>Clothing</th>
      <th>Electronics</th>
      <th>Home Appliances</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>27.112402</td>
      <td>9965.583367</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>4499.672728</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>7810.305827</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>1157.559048</td>
      <td>6826.521572</td>
      <td>4561.200483</td>
    </tr>
  </tbody>
</table>",6826.521572474895
5,What is the stock quantity for the desk item provided by SupplierC in the stationery category?,"SELECT StockLevel FROM InventoryManagement WHERE ItemName = ""Desk"" AND Category = ""Stationery"" AND Supplier = ""SupplierC""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ItemName</th>
      <th>Chair</th>
      <th>Desk</th>
      <th>Laptop</th>
      <th>Monitor</th>
      <th>Table</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>473.411194</td>
      <td>970.626715</td>
      <td>457.092348</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>942.684371</td>
      <td>339.627887</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>822.279406</td>
      <td>NaN</td>
      <td>290.802696</td>
      <td>NaN</td>
      <td>61.713137</td>
    </tr>
    <tr>
      <th></th>
      <td>869.387118</td>
      <td>450.882650</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>658.855970</td>
      <td>31.902047</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>577.735692</td>
      <td>NaN</td>
      <td>238.483420</td>
      <td>596.505142</td>
      <td>323.570341</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>786.281226</td>
      <td>621.460902</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>442.271710</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>837.281270</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>679.607887</td>
    </tr>
  </tbody>
</table>",837.2812698670385
6,What is the duration of the training program related to leadership that is currently awaiting completion?,"SELECT TrainingDuration FROM EmployeeTraining WHERE TrainingProgram = ""Leadership"" AND TrainingOutcome = ""Pending""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>TrainingOutcome</th>
      <th>Failed</th>
      <th>Passed</th>
      <th>Pending</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>11.222842</td>
      <td>3.616497</td>
      <td>34.542544</td>
    </tr>
    <tr>
      <th></th>
      <td>7.649951</td>
      <td>20.401837</td>
      <td>6.337587</td>
    </tr>
    <tr>
      <th></th>
      <td>34.841090</td>
      <td>19.592683</td>
      <td>18.759486</td>
    </tr>
  </tbody>
</table>",34.54254440992355
7,What is the level of dissatisfaction reported by employees in the Finance department?,"SELECT SatisfactionLevel FROM EmployeeSatisfaction WHERE Department = ""Finance"" AND FeedbackCategory = ""Negative""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Department</th>
      <th>Finance</th>
      <th>HR</th>
      <th>IT</th>
      <th>Marketing</th>
      <th>Sales</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>4.733040</td>
      <td>2.074805</td>
      <td>2.131849</td>
      <td>4.876557</td>
      <td>4.803856</td>
    </tr>
    <tr>
      <th></th>
      <td>2.888702</td>
      <td>3.558309</td>
      <td>3.949093</td>
      <td>3.728747</td>
      <td>3.004526</td>
    </tr>
    <tr>
      <th></th>
      <td>4.132244</td>
      <td>4.783283</td>
      <td>3.469822</td>
      <td>2.037962</td>
      <td>2.070338</td>
    </tr>
  </tbody>
</table>",4.733040007660956
8,What is the duration of the marketing campaign aimed at Gen Z that falls under the category of social media?,"SELECT Duration FROM MarketingCampaign WHERE CampaignType = ""Social Media"" AND TargetAudience = ""Gen Z""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>Duration</th>
      <th>62</th>
      <th>89</th>
      <th>111</th>
      <th>123</th>
      <th>175</th>
      <th>188</th>
      <th>219</th>
      <th>222</th>
      <th>224</th>
      <th>234</th>
      <th>257</th>
      <th>258</th>
      <th>294</th>
      <th>305</th>
      <th>322</th>
      <th>349</th>
    </tr>
    <tr>
      <th>TargetAudience</th>
      <th>Millennials</th>
      <th>Families</th>
      <th>Professionals</th>
      <th>Gen Z</th>
      <th>Gen Z</th>
      <th>Gen Z</th>
      <th>Families</th>
      <th>Professionals</th>
      <th>Millennials</th>
      <th>Professionals</th>
      <th>Millennials</th>
      <th>Millennials</th>
      <th>Families</th>
      <th>Gen Z</th>
      <th>Families</th>
      <th>Professionals</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>69844.802957</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>881632.81884</td>
      <td>600666.767711</td>
      <td>176099.653934</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>246809.774829</td>
      <td>548092.221114</td>
      <td>961793.5436</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>105363.540634</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>859227.970443</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>812403.704465</td>
      <td>911452.328363</td>
      <td>151974.480581</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>359241.152227</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>711830.031053</td>
      <td>NaN</td>
      <td>713354.956594</td>
      <td>364705.672896</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",305.0
9,"What was the total number of hours worked by late employees in the HR department on December 31, 2023?","SELECT HoursWorked FROM EmployeeAttendance WHERE Department = ""HR"" AND AttendanceStatus = ""Late"" AND Date = ""2023-12-31""",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Date</th>
      <th>2023-01-01</th>
      <th>2023-12-31</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>22.943242</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>9.214728</td>
    </tr>
    <tr>
      <th></th>
      <td>13.794555</td>
      <td>11.143339</td>
    </tr>
    <tr>
      <th></th>
      <td>20.871571</td>
      <td>17.602316</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>8.928221</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>7.336017</td>
    </tr>
    <tr>
      <th></th>
      <td>NaN</td>
      <td>21.714509</td>
    </tr>
  </tbody>
</table>",22.943242358093517
