Question,SQL Query,Method,Table,Label
"What is the mean expense incurred for Radiation therapy in cardiovascular cases, Palliative Care in cancer patients, and surgical procedures for those diagnosed with hypertension?","SELECT AVG(TreatmentCost) AS TreatmentCost FROM (SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Radiation"" AND DiagnosisCategory = ""Cardiovascular"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Palliative Care"" AND DiagnosisCategory = ""Cancer"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentOutcomes WHERE TreatmentType = ""Surgery"" AND DiagnosisCategory = ""Hypertension"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>DiagnosisCategory</th>
      <th>Cancer</th>
      <th>Cardiovascular</th>
      <th>Diabetes</th>
      <th>Hypertension</th>
      <th>Respiratory</th>
    </tr>
    <tr>
      <th>TreatmentType</th>
      <th>AgeGroup</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Medications</th>
      <th>0-18</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>34328.637989</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>36-50</th>
      <td>NaN</td>
      <td>19487.950078</td>
      <td>22733.100251</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>51-65</th>
      <td>NaN</td>
      <td>25167.815684</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Palliative Care</th>
      <th>19-35</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>49401.274327</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>51-65</th>
      <td>17772.276689</td>
      <td>29981.720095</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Radiation</th>
      <th>19-35</th>
      <td>NaN</td>
      <td>509.573926</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>66+</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>27729.207074</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Surgery</th>
      <th>0-18</th>
      <td>NaN</td>
      <td>11760.391969</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>24811.177365</td>
    </tr>
    <tr>
      <th>19-35</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>2682.113355</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>51-65</th>
      <td>NaN</td>
      <td>6556.267420</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>41629.789370</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Therapy</th>
      <th>0-18</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>9014.421113</td>
    </tr>
    <tr>
      <th>19-35</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>5494.044793</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>51-65</th>
      <td>45208.209067</td>
      <td>NaN</td>
      <td>2504.324276</td>
      <td>12398.769568</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>66+</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>45392.178430</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",6987.98799
"What is the combined mean value of respiratory rates measured in millimeters of mercury and beats per minute, along with temperatures recorded in degrees Celsius?","SELECT AVG(VitalSignValue) AS VitalSignValue FROM (SELECT VitalSignValue AS VitalSignValue FROM PatientVitalSigns WHERE VitalSignType = ""Respiratory Rate"" AND MeasurementUnit = ""mmHg"" UNION ALL SELECT VitalSignValue AS VitalSignValue FROM PatientVitalSigns WHERE VitalSignType = ""Respiratory Rate"" AND MeasurementUnit = ""bpm"" UNION ALL SELECT VitalSignValue AS VitalSignValue FROM PatientVitalSigns WHERE VitalSignType = ""Temperature"" AND MeasurementUnit = ""°C"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>MeasurementUnit</th>
      <th>%</th>
      <th>bpm</th>
      <th>breaths/min</th>
      <th>mmHg</th>
      <th>°C</th>
    </tr>
    <tr>
      <th>VitalSignType</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Blood Pressure</th>
      <td>167.320885</td>
      <td>NaN</td>
      <td>177.957280</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Heart Rate</th>
      <td>52.545341</td>
      <td>126.063351</td>
      <td>77.869346</td>
      <td>95.010215</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Oxygen Saturation</th>
      <td>156.632869</td>
      <td>157.508899</td>
      <td>195.807536</td>
      <td>193.012732</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Respiratory Rate</th>
      <td>19.868318</td>
      <td>175.570512</td>
      <td>102.397892</td>
      <td>131.401319</td>
      <td>25.795032</td>
    </tr>
    <tr>
      <th>Temperature</th>
      <td>153.526639</td>
      <td>109.336239</td>
      <td>44.722830</td>
      <td>38.598832</td>
      <td>125.267052</td>
    </tr>
  </tbody>
</table>",144.079628
What is the mean expense for ointment antibiotics and tablet medications used for pain relief and blood pressure control combined?,"SELECT AVG(MedicationCost) AS MedicationCost FROM (SELECT MedicationCost AS MedicationCost FROM PatientMedicationRecords WHERE MedicationType = ""Antibiotic"" AND DosageForm = ""Ointment"" UNION ALL SELECT MedicationCost AS MedicationCost FROM PatientMedicationRecords WHERE MedicationType = ""Analgesic"" AND DosageForm = ""Tablet"" UNION ALL SELECT MedicationCost AS MedicationCost FROM PatientMedicationRecords WHERE MedicationType = ""Antihypertensive"" AND DosageForm = ""Tablet"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>DosageForm</th>
      <th>Injection</th>
      <th>Ointment</th>
      <th>Syrup</th>
      <th>Tablet</th>
    </tr>
    <tr>
      <th>MedicationType</th>
      <th>AdministrationRoute</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Analgesic</th>
      <th>Oral</th>
      <td>NaN</td>
      <td>4508.869428</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Subcutaneous</th>
      <td>2957.533563</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>331.279890</td>
    </tr>
    <tr>
      <th>Topical</th>
      <td>NaN</td>
      <td>3673.347148</td>
      <td>2423.997012</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Antibiotic</th>
      <th>Intravenous</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>2826.139858</td>
    </tr>
    <tr>
      <th>Oral</th>
      <td>NaN</td>
      <td>1983.349174</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Subcutaneous</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>2246.455145</td>
      <td>410.353705</td>
    </tr>
    <tr>
      <th>Topical</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>647.605527</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Antidepressant</th>
      <th>Oral</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>1977.831977</td>
    </tr>
    <tr>
      <th>Subcutaneous</th>
      <td>NaN</td>
      <td>3796.734383</td>
      <td>NaN</td>
      <td>3007.474437</td>
    </tr>
    <tr>
      <th>Topical</th>
      <td>NaN</td>
      <td>4229.990024</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Antihypertensive</th>
      <th>Intravenous</th>
      <td>1198.328276</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Oral</th>
      <td>NaN</td>
      <td>4939.569157</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Subcutaneous</th>
      <td>3216.808576</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Topical</th>
      <td>3394.502451</td>
      <td>3059.517643</td>
      <td>NaN</td>
      <td>3522.040441</td>
    </tr>
  </tbody>
</table>",1945.556502
What is the combined average symptom score for patients experiencing moderate levels of fever and cough?,"SELECT AVG(SymptomScore) AS SymptomScore FROM (SELECT SymptomScore AS SymptomScore FROM PatientSymptoms WHERE SymptomCategory = ""Fever"" AND SeverityLevel = ""Moderate"" UNION ALL SELECT SymptomScore AS SymptomScore FROM PatientSymptoms WHERE SymptomCategory = ""Cough"" AND SeverityLevel = ""Moderate"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>VisitDate</th>
      <th colspan=""3"" halign=""left"">2020-01-01</th>
      <th colspan=""3"" halign=""left"">2023-12-31</th>
    </tr>
    <tr>
      <th>SeverityLevel</th>
      <th>Mild</th>
      <th>Moderate</th>
      <th>Severe</th>
      <th>Mild</th>
      <th>Moderate</th>
      <th>Severe</th>
    </tr>
    <tr>
      <th>SymptomCategory</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Chest Pain</th>
      <td>2.544276</td>
      <td>6.387650</td>
      <td>8.129562</td>
      <td>2.383187</td>
      <td>3.421601</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Cough</th>
      <td>0.909645</td>
      <td>NaN</td>
      <td>0.612391</td>
      <td>7.588218</td>
      <td>2.379269</td>
      <td>0.548357</td>
    </tr>
    <tr>
      <th>Fever</th>
      <td>5.292096</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>6.318769</td>
      <td>7.059454</td>
      <td>2.005626</td>
    </tr>
    <tr>
      <th>Headache</th>
      <td>1.181794</td>
      <td>7.580712</td>
      <td>4.210593</td>
      <td>2.412751</td>
      <td>4.733907</td>
      <td>6.468433</td>
    </tr>
  </tbody>
</table>",4.719361
"What is the average length of treatment in weeks for patients who have either completed Occupational or Physical Therapy, or are still undergoing Occupational or Speech Therapy?","SELECT AVG(DurationInWeeks) AS DurationInWeeks FROM (SELECT DurationInWeeks AS DurationInWeeks FROM PatientRehabilitation WHERE RehabilitationType = ""Occupational Therapy"" AND RecoveryStatus = ""Discharged"" UNION ALL SELECT DurationInWeeks AS DurationInWeeks FROM PatientRehabilitation WHERE RehabilitationType = ""Physical Therapy"" AND RecoveryStatus = ""Discharged"" UNION ALL SELECT DurationInWeeks AS DurationInWeeks FROM PatientRehabilitation WHERE RehabilitationType = ""Occupational Therapy"" AND RecoveryStatus = ""Needs Further Treatment"" UNION ALL SELECT DurationInWeeks AS DurationInWeeks FROM PatientRehabilitation WHERE RehabilitationType = ""Speech Therapy"" AND RecoveryStatus = ""Needs Further Treatment"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>RehabilitationType</th>
      <th>Cognitive Rehabilitation</th>
      <th>Occupational Therapy</th>
      <th>Physical Therapy</th>
      <th>Speech Therapy</th>
    </tr>
    <tr>
      <th>RecoveryStatus</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Discharged</th>
      <td>6.549508</td>
      <td>10.377164</td>
      <td>10.880527</td>
      <td>9.955256</td>
    </tr>
    <tr>
      <th>In Progress</th>
      <td>2.620010</td>
      <td>3.575717</td>
      <td>6.800723</td>
      <td>10.595184</td>
    </tr>
    <tr>
      <th>Needs Further Treatment</th>
      <td>10.397875</td>
      <td>9.718571</td>
      <td>5.366688</td>
      <td>3.284297</td>
    </tr>
    <tr>
      <th>Recovered</th>
      <td>6.003086</td>
      <td>11.237338</td>
      <td>1.589727</td>
      <td>3.758459</td>
    </tr>
  </tbody>
</table>",8.56514
What is the mean evaluation score when combining data from non-binary individuals of both Caucasian and other ethnic backgrounds along with Caucasian males?,"SELECT AVG(AssessmentScore) AS AssessmentScore FROM (SELECT AssessmentScore AS AssessmentScore FROM PatientHealthAssessment WHERE Gender = ""Non-binary"" AND Ethnicity = ""Other"" UNION ALL SELECT AssessmentScore AS AssessmentScore FROM PatientHealthAssessment WHERE Gender = ""Non-binary"" AND Ethnicity = ""Caucasian"" UNION ALL SELECT AssessmentScore AS AssessmentScore FROM PatientHealthAssessment WHERE Gender = ""Male"" AND Ethnicity = ""Caucasian"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>Gender</th>
      <th>Female</th>
      <th>Male</th>
      <th>Non-binary</th>
    </tr>
    <tr>
      <th>Ethnicity</th>
      <th>HealthCondition</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""2"" valign=""top"">African American</th>
      <th>Diabetes</th>
      <td>NaN</td>
      <td>88.441331</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Hypertension</th>
      <td>NaN</td>
      <td>59.956333</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Asian</th>
      <th>Diabetes</th>
      <td>NaN</td>
      <td>73.974394</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Healthy</th>
      <td>NaN</td>
      <td>84.868811</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Obesity</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>14.428401</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>81.805334</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Caucasian</th>
      <th>Obesity</th>
      <td>NaN</td>
      <td>0.297664</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>59.346964</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Hispanic</th>
      <th>Diabetes</th>
      <td>NaN</td>
      <td>69.767719</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Hypertension</th>
      <td>NaN</td>
      <td>9.835235</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Obesity</th>
      <td>NaN</td>
      <td>59.558657</td>
      <td>31.345828</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>5.035175</td>
      <td>NaN</td>
      <td>72.912666</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Other</th>
      <th>Healthy</th>
      <td>52.963665</td>
      <td>93.220683</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Hypertension</th>
      <td>45.844149</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Obesity</th>
      <td>NaN</td>
      <td>61.409278</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Other</th>
      <td>10.041002</td>
      <td>NaN</td>
      <td>67.242303</td>
    </tr>
  </tbody>
</table>",42.295644
"What is the combined mean assessment score for individuals aged 19 to 35 classified under moderate health risk, those aged 36 to 55 with low health risk, and people between 56 and 75 years old who fall into the moderate risk category?","SELECT AVG(AssessmentScore) AS AssessmentScore FROM (SELECT AssessmentScore AS AssessmentScore FROM PatientHealthAssessment WHERE AgeGroup = ""19-35"" AND HealthRiskCategory = ""Moderate"" UNION ALL SELECT AssessmentScore AS AssessmentScore FROM PatientHealthAssessment WHERE AgeGroup = ""36-55"" AND HealthRiskCategory = ""Low"" UNION ALL SELECT AssessmentScore AS AssessmentScore FROM PatientHealthAssessment WHERE AgeGroup = ""56-75"" AND HealthRiskCategory = ""Moderate"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>HealthRiskCategory</th>
      <th>High</th>
      <th>Low</th>
      <th>Moderate</th>
    </tr>
    <tr>
      <th>AgeGroup</th>
      <th>TreatmentType</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">0-18</th>
      <th>Lifestyle Change</th>
      <td>55.237662</td>
      <td>NaN</td>
      <td>97.233685</td>
    </tr>
    <tr>
      <th>Medication</th>
      <td>NaN</td>
      <td>43.078309</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Therapy</th>
      <td>33.640285</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">19-35</th>
      <th>Lifestyle Change</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>95.475353</td>
    </tr>
    <tr>
      <th>Surgery</th>
      <td>14.830531</td>
      <td>22.028890</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Therapy</th>
      <td>NaN</td>
      <td>30.511056</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">36-55</th>
      <th>Lifestyle Change</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>6.692883</td>
    </tr>
    <tr>
      <th>Medication</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>62.585848</td>
    </tr>
    <tr>
      <th>Surgery</th>
      <td>86.863908</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Therapy</th>
      <td>16.351195</td>
      <td>0.765983</td>
      <td>84.983279</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">56-75</th>
      <th>Lifestyle Change</th>
      <td>87.472816</td>
      <td>NaN</td>
      <td>40.486547</td>
    </tr>
    <tr>
      <th>Therapy</th>
      <td>NaN</td>
      <td>87.430799</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">76+</th>
      <th>Lifestyle Change</th>
      <td>23.449135</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Surgery</th>
      <td>6.537325</td>
      <td>96.288285</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",45.575961
What is the mean expenditure for hospitalized individuals receiving either chemotherapy or surgical treatment?,"SELECT AVG(Cost) AS Cost FROM (SELECT Cost AS Cost FROM PatientTreatmentRecords WHERE PatientType = ""Inpatient"" AND TreatmentType = ""Chemotherapy"" UNION ALL SELECT Cost AS Cost FROM PatientTreatmentRecords WHERE PatientType = ""Inpatient"" AND TreatmentType = ""Surgery"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>TreatmentType</th>
      <th>Chemotherapy</th>
      <th>Radiation</th>
      <th>Surgery</th>
    </tr>
    <tr>
      <th>PatientType</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Inpatient</th>
      <td>11827.612991</td>
      <td>39855.842681</td>
      <td>42425.360401</td>
    </tr>
    <tr>
      <th>Outpatient</th>
      <td>45695.854582</td>
      <td>49546.262202</td>
      <td>12584.536676</td>
    </tr>
  </tbody>
</table>",27126.486696
"What is the combined average measurement value when considering all recorded readings of respiratory rate (in mmHg and breaths per minute), heart rate (in mmHg), and blood pressure (in bpm)?","SELECT AVG(MeasurementValue) AS MeasurementValue FROM (SELECT MeasurementValue AS MeasurementValue FROM PatientVitalSigns WHERE VitalSignType = ""Respiratory Rate"" AND MeasurementUnit = ""mmHg"" UNION ALL SELECT MeasurementValue AS MeasurementValue FROM PatientVitalSigns WHERE VitalSignType = ""Heart Rate"" AND MeasurementUnit = ""mmHg"" UNION ALL SELECT MeasurementValue AS MeasurementValue FROM PatientVitalSigns WHERE VitalSignType = ""Blood Pressure"" AND MeasurementUnit = ""bpm"" UNION ALL SELECT MeasurementValue AS MeasurementValue FROM PatientVitalSigns WHERE VitalSignType = ""Respiratory Rate"" AND MeasurementUnit = ""breaths/min"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>VitalSignType</th>
      <th>Blood Pressure</th>
      <th>Heart Rate</th>
      <th>Respiratory Rate</th>
    </tr>
    <tr>
      <th>MeasurementUnit</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>bpm</th>
      <td>115.635397</td>
      <td>28.235609</td>
      <td>162.189534</td>
    </tr>
    <tr>
      <th>breaths/min</th>
      <td>125.450259</td>
      <td>29.266120</td>
      <td>50.086424</td>
    </tr>
    <tr>
      <th>mmHg</th>
      <td>150.051165</td>
      <td>32.033533</td>
      <td>178.569671</td>
    </tr>
  </tbody>
</table>",94.081256
"What is the overall average cost of treatments when considering surgery for hypertension, chemotherapy and medication management for heart disease, and medication management for diabetes?","SELECT AVG(TreatmentCost) AS TreatmentCost FROM (SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentData WHERE TreatmentType = ""Surgery"" AND Diagnosis = ""Hypertension"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentData WHERE TreatmentType = ""Chemotherapy"" AND Diagnosis = ""Heart Disease"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentData WHERE TreatmentType = ""Medication Management"" AND Diagnosis = ""Heart Disease"" UNION ALL SELECT TreatmentCost AS TreatmentCost FROM PatientTreatmentData WHERE TreatmentType = ""Medication Management"" AND Diagnosis = ""Diabetes"");",average,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Diagnosis</th>
      <th>Asthma</th>
      <th>Cancer</th>
      <th>Diabetes</th>
      <th>Heart Disease</th>
      <th>Hypertension</th>
    </tr>
    <tr>
      <th>TreatmentType</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Chemotherapy</th>
      <td>11795.938917</td>
      <td>NaN</td>
      <td>15869.184172</td>
      <td>7428.866999</td>
      <td>13201.207642</td>
    </tr>
    <tr>
      <th>Medication Management</th>
      <td>14498.476636</td>
      <td>18733.283130</td>
      <td>11764.506711</td>
      <td>2582.601737</td>
      <td>1979.978806</td>
    </tr>
    <tr>
      <th>Physical Therapy</th>
      <td>NaN</td>
      <td>2507.680032</td>
      <td>NaN</td>
      <td>4451.745888</td>
      <td>10463.859546</td>
    </tr>
    <tr>
      <th>Radiation Therapy</th>
      <td>8444.735959</td>
      <td>5335.032380</td>
      <td>11305.731457</td>
      <td>NaN</td>
      <td>8510.467335</td>
    </tr>
    <tr>
      <th>Surgery</th>
      <td>12224.884440</td>
      <td>14471.280239</td>
      <td>NaN</td>
      <td>7137.143740</td>
      <td>18198.145922</td>
    </tr>
  </tbody>
</table>",9993.530342
