index,question,value,response
0,Which company has the lowest energy consumption over the last 2 years among the following companies in million kWh?,munich-re, deutsche-telekom-ag
1,Which companies have the 5 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2eq?,"OTC_ESOCF, OTC_BAYZF, OTC_ADDDF, axa, NYSE_AZ"," otc_esocf 5100000.00, otc_bayzf 1120000.00, otc_adddf 142293.00, axa 37172.00, nyse_az 30490.00"
2,What are the 4 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.11, 0.2, 0.14, 0.01"," 1.11, 0.20, 0.14, 0.01"
3,What are the top 5 lowest water consumption values (in ascending order) for the year 2023 among the following companies in m3?,"432730.0, 5049144.0, 6780000.0, 8200000.0, 35400000.0"," 432730.00, 5049144.00, 6780000.00, 8200000.00, 35400000.00"
4,What are the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"61.9, 34.51, 0.03, 0.02"," 61.90, 34.51, 0.03, 0.02"
5,Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2e?,OTC_ESOCF, otc_esocf
6,What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,"71040000.0, 23800000.0"," 71040000.00, 23800000.00"
7,What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in MtCO2eq?,53.07," 34.51, 53.07"
8,What is the lowest energy consumption over the last 2 years among the following companies in TWh?,0.03, 0.03 twh
9,What are the 4 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,"770748.0, 3130824.0, 7635784.0, 9720000.0"," 770748.00, 3130824.00, 7635784.00, 9720000.00"
10,What are the top 5 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,"91604239.95, 12241000.0, 1124327.0, 71218.0, 33090.0"," 91,604,166.67, 12,241,000.00, 1,124,327.00, 71,218.00, 33,090.00"
11,What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,"22042.0, 42423.0"," 22042.00, 42423.00"
12,What are the 4 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"3.28, 0.2, 0.11, 0.04"," 3.28, 0.20, 0.11, 0.04"
13,What is the largest energy consumption from 2022 to 2023 among the following companies?,1201276.0, nyse_tte 2022 166.00 twh
14,Which companies have the 5 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2e?,"NASDAQ_DASTY, axa, munich-re, OTC_ESOCF, OTC_RWNEF"," nasdaq_dasty, axa, munich-re, otc_esocf, otc_rwnef"
15,Which companies have the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"OTC_BAYZF, OTC_RWNEF, OTC_ADDDF"," otc_bayzf, otc_rwnef, otc_adddf"
16,Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tons CO2e?,"OTC_BAYZF, OTC_RWNEF"," otc_bayzf, otc_rwnef"
17,Which companies have the 5 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,"NYSE_AZ, NASDAQ_DASTY, vivendi, munich-re, OTC_ESOCF"," nyse_az 92467.00, nasdaq_dasty 168709.00, vivendi 727100.00, munich-re 3130824.00, otc_esocf 71040000.00"
18,Which companies have the 5 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_RWNEF, OTC_ESOCF, munich-re, axa, NASDAQ_DASTY"," otc_rwnef 61.90, otc_esocf 34.51, munich-re 0.03, axa 0.02, nasdaq_dasty 0.00"
19,Which company has the maximum amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,OTC_ESOCF, otc_esocf
20,Which companies have the 4 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in MtCO2eq?,"OTC_RWNEF, OTC_ESOCF, munich-re, OTC_ADDDF"," otc_rwnef, otc_esocf, munich-re, otc_adddf"
21,What is the largest energy consumption from 2022 to 2023 among the following companies?,347068, 166.00
22,Which companies have the 4 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in million mt CO2e?,"OTC_ESOCF, OTC_RWNEF, OTC_BAYZF, munich-re"," otc_esocf, otc_rwnef, otc_bayzf, munich-re"
23,What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,5894811.0, 5894811.00 tco2e
24,Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,OTC_RWNEF, otc_rwnef
